n	ksi	theta'	ro_c/ro_sr	W_n
0.0 	2.4495 	-0.8165 -1.0 		0.1194
0.5 	2.7527 	-0.5 	-1.8352 	0.2122
1.0 	3.1416 	-0.3183 -3.2898 	0.3927
1.5 	3.6538 	-0.2033 -5.9906 	0.7701
2.0 	4.3529 	-0.1273 -11.4023 	1.6381
2.5 	5.3552 	-0.0763 -23.4057 	3.9089
3.0 	6.8968 	-0.0424 -54.1804 	11.0501
3.5 	9.5356 	-0.0208 -152.8753 	40.9068
4.0 	14.9712 -0.008 	-622.3599 	247.534
4.5 	31.835 	-0.0017 -6188.6696 	4921.0013

